<16, 15><26, 12>
<16, 16><26, 12>
<17, 16><26, 12>
<16, 17><26, 12>
<23, 14><26, 12>
<23, 15><26, 12>
<23, 16><26, 12>
<24, 16><26, 12>
<23, 17><26, 12>
<40, 7><26, 12>
<49, 8><26, 12>
<40, 8><26, 12>
<41, 8><26, 12>
<40, 9><26, 12>
<49, 10><26, 12>
<40, 10><26, 12>
<41, 10><26, 12>
<40, 11><26, 12>
<40, 7><25, 12>
<49, 8><25, 12>
<40, 8><25, 12>
<41, 8><25, 12>
<40, 9><25, 12>
<49, 10><25, 12>
<40, 10><25, 12>
<41, 10><25, 12>
<40, 11><25, 12>
<2, 12><25, 12>
<3, 12><25, 12>
<2, 13><25, 12>
<9, 12><25, 12>
<10, 12><25, 12>
<9, 13><25, 12>
<16, 12><25, 12>
<17, 12><25, 12>
<16, 13><25, 12>
Failed to write | '/ ' |to| <23, 11> |using| color 1280|. |<25, 12>|.
<23, 12><25, 12>
<24, 12><25, 12>
<23, 13><25, 12>
<2, 14><25, 12>
<2, 15><25, 12>
<2, 16><25, 12>
<3, 16><25, 12>
<2, 17><25, 12>
<9, 14><25, 12>
<9, 15><25, 12>
<9, 16><25, 12>
<10, 16><25, 12>
<9, 17><25, 12>
<16, 14><25, 12>
<16, 15><25, 12>
<16, 16><25, 12>
<17, 16><25, 12>
<16, 17><25, 12>
<23, 14><25, 12>
<23, 15><25, 12>
<23, 16><25, 12>
<24, 16><25, 12>
<23, 17><25, 12>
<40, 7><25, 12>
<49, 8><25, 12>
<40, 8><25, 12>
<41, 8><25, 12>
<40, 9><25, 12>
<49, 10><25, 12>
<40, 10><25, 12>
<41, 10><25, 12>
<40, 11><25, 12>
<40, 7><24, 12>
<49, 8><24, 12>
<40, 8><24, 12>
<41, 8><24, 12>
<40, 9><24, 12>
<49, 10><24, 12>
<40, 10><24, 12>
<41, 10><24, 12>
<40, 11><24, 12>
<24, 8><24, 12>
<2, 12><24, 12>
<3, 12><24, 12>
<2, 13><24, 12>
<9, 12><24, 12>
<10, 12><24, 12>
<9, 13><24, 12>
<16, 12><24, 12>
<17, 12><24, 12>
<16, 13><24, 12>
Failed to write | '/' |to| <23, 11> |using| color 1280|. |<24, 12>|.
<23, 12><24, 12>
<24, 12><24, 12>
<23, 13><24, 12>
<2, 14><24, 12>
<2, 15><24, 12>
<2, 16><24, 12>
<3, 16><24, 12>
<2, 17><24, 12>
<9, 14><24, 12>
<9, 15><24, 12>
<9, 16><24, 12>
<10, 16><24, 12>
<9, 17><24, 12>
<16, 14><24, 12>
<16, 15><24, 12>
<16, 16><24, 12>
<17, 16><24, 12>
<16, 17><24, 12>
<23, 14><24, 12>
<23, 15><24, 12>
<23, 16><24, 12>
<24, 16><24, 12>
<23, 17><24, 12>
<40, 7><24, 12>
<49, 8><24, 12>
<40, 8><24, 12>
<41, 8><24, 12>
<40, 9><24, 12>
<49, 10><24, 12>
<40, 10><24, 12>
<41, 10><24, 12>
<40, 11><24, 12>
<40, 7><23, 12>
<49, 8><23, 12>
<40, 8><23, 12>
<41, 8><23, 12>
<40, 9><23, 12>
<49, 10><23, 12>
<40, 10><23, 12>
<41, 10><23, 12>
<40, 11><23, 12>
<23, 6><23, 12>
<23, 7><23, 12>
<23, 8><23, 12>
<24, 8><23, 12>
<23, 9><23, 12>
<2, 12><23, 12>
<3, 12><23, 12>
<2, 13><23, 12>
<9, 12><23, 12>
<10, 12><23, 12>
<9, 13><23, 12>
<16, 12><23, 12>
<17, 12><23, 12>
<16, 13><23, 12>
<23, 10><23, 12>
<23, 11><23, 12>
<23, 12><23, 12>
<24, 12><23, 12>
<23, 13><23, 12>
<2, 14><23, 12>
<2, 15><23, 12>
<2, 16><23, 12>
<3, 16><23, 12>
<2, 17><23, 12>
<9, 14><23, 12>
<9, 15><23, 12>
<9, 16><23, 12>
<10, 16><23, 12>
<9, 17><23, 12>
<16, 14><23, 12>
<16, 15><23, 12>
<16, 16><23, 12>
<17, 16><23, 12>
<16, 17><23, 12>
<23, 14><23, 12>
<23, 15><23, 12>
<23, 16><23, 12>
<24, 16><23, 12>
<23, 17><23, 12>
<40, 7><23, 12>
<49, 8><23, 12>
<40, 8><23, 12>
<41, 8><23, 12>
<40, 9><23, 12>
<49, 10><23, 12>
<40, 10><23, 12>
<41, 10><23, 12>
<40, 11><23, 12>
<40, 7><22, 12>
<49, 8><22, 12>
<40, 8><22, 12>
<41, 8><22, 12>
<40, 9><22, 12>
<49, 10><22, 12>
<40, 10><22, 12>
<41, 10><22, 12>
<40, 11><22, 12>
<23, 6><22, 12>
<23, 7><22, 12>
<23, 8><22, 12>
<24, 8><22, 12>
<23, 9><22, 12>
<2, 12><22, 12>
<3, 12><22, 12>
<2, 13><22, 12>
<9, 12><22, 12>
<10, 12><22, 12>
<9, 13><22, 12>
Failed to write | '/    \\' |to| <16, 11> |using| color 1024|. |<22, 12>|.
<16, 12><22, 12>
<17, 12><22, 12>
<16, 13><22, 12>
<23, 10><22, 12>
<23, 11><22, 12>
<23, 12><22, 12>
<24, 12><22, 12>
<23, 13><22, 12>
<2, 14><22, 12>
<2, 15><22, 12>
<2, 16><22, 12>
<3, 16><22, 12>
<2, 17><22, 12>
<9, 14><22, 12>
<9, 15><22, 12>
<9, 16><22, 12>
<10, 16><22, 12>
<9, 17><22, 12>
<16, 14><22, 12>
<16, 15><22, 12>
<16, 16><22, 12>
<17, 16><22, 12>
<16, 17><22, 12>
<23, 14><22, 12>
<23, 15><22, 12>
<23, 16><22, 12>
<24, 16><22, 12>
<23, 17><22, 12>
<40, 7><22, 12>
<49, 8><22, 12>
<40, 8><22, 12>
<41, 8><22, 12>
<40, 9><22, 12>
<49, 10><22, 12>
<40, 10><22, 12>
<41, 10><22, 12>
<40, 11><22, 12>
<40, 7><21, 12>
<49, 8><21, 12>
<40, 8><21, 12>
<41, 8><21, 12>
<40, 9><21, 12>
<49, 10><21, 12>
<40, 10><21, 12>
<41, 10><21, 12>
<40, 11><21, 12>
<23, 6><21, 12>
<23, 7><21, 12>
<23, 8><21, 12>
<24, 8><21, 12>
<23, 9><21, 12>
<2, 12><21, 12>
<3, 12><21, 12>
<2, 13><21, 12>
<9, 12><21, 12>
<10, 12><21, 12>
<9, 13><21, 12>
Failed to write | '/    ' |to| <16, 11> |using| color 1024|. |<21, 12>|.
<16, 12><21, 12>
<17, 12><21, 12>
<16, 13><21, 12>
<23, 10><21, 12>
<23, 11><21, 12>
<23, 12><21, 12>
<24, 12><21, 12>
<23, 13><21, 12>
<2, 14><21, 12>
<2, 15><21, 12>
<2, 16><21, 12>
<3, 16><21, 12>
<2, 17><21, 12>
<9, 14><21, 12>
<9, 15><21, 12>
<9, 16><21, 12>
<10, 16><21, 12>
<9, 17><21, 12>
<16, 14><21, 12>
<16, 15><21, 12>
<16, 16><21, 12>
<17, 16><21, 12>
<16, 17><21, 12>
<23, 14><21, 12>
<23, 15><21, 12>
<23, 16><21, 12>
<24, 16><21, 12>
